date,language,type,title,by,overall,quality,repeatability
24-Dec-21,English,movie,Escape Plan 3: The Extractors,Sylvestor Stallone,2,3,1
24-Dec-21,English,movie,Escape Plan 2: Hades,Sylvestor Stallone,3,3,2
23-Dec-21,English,movie,Street Kings,"Keanu Reeves, Forest Whitaker",3,3,1
23-Dec-21,English,movie,Cold Pursuit,Liam Neeson,3,3,1
22-Dec-21,English,movie,The Hitman's Bodyguard,"Ryan Reynolds, Samuel L Jackson",3,3,1
21-Dec-21,Hindi,movie,Ek Ladki Ko Dekha To Aisa Laga,"Anil Kapoor, Rajkummar Rao, Sonam Kapoor",3,4,1
21-Dec-21,Hindi,movie,Khoobsurat,"Fawad Khan, Sonam Kapoor",3,3,2
20-Dec-21,Tamil,movie,Asuraguru,"Vikram Prabhu, Mahima Nambiar",2,3,1
19-Dec-21,Telugu,movie,Ala Vaikunthapurramuloo,"Allu Arjun, Murali Sharma",4,4,2
16-Dec-21,English,movie,Man on a Ledge,"Sam Worthington, Elizabeth Banks",3,3,1
16-Dec-21,English,movie,The Spy Next Door,Jackie Chan,3,3,1
16-Dec-21,Hindi,movie,Gori Tere Gaon Mein,"Imran Khan, Kareena Kapoor",3,3,2
14-Dec-21,Hindi,movie,Sooryavanshi,Akshay Kumar,2,3,1
03-Dec-21,Tamil,movie,Shaitan,Vijay Antony,3,3,1
02-Dec-21,Tamil,movie,Velaikkaran,"Sivakarthikeyan, Fahadh Faasil",3,4,2
01-Dec-21,Hindi,movie,Hum Do Hamare Do,"Rakjummar Rao, Kriti Sanon",3,3,1
28-Nov-21,English,movie,Acts of Vengeance,Antonio Banderas,3,3,1
27-Nov-21,Telugu,movie,Republic,Sai Dharam Tej,2,3,1
27-Nov-21,Tamil,movie,Annaathe,Rajnikanth,2,1,1
24-Nov-21,Hindi,movie,Pad Man,Akshay Kumar,4,4,1
24-Nov-21,Tamil,movie,Doctor,Sivakarthikeyan,3,3,2
22-Nov-21,Hindi,movie,The Lunchbox,"Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui",3,4,1
20-Nov-21,English,movie,The Incredibles 2,,3,4,2
15-Nov-21,English,movie,Shang-Chi and The Legend of the Ten Rings,,3,3,1
11-Nov-21,English,movie,The Courier,Benedict Cumberbatch,3,4,1
11-Nov-21,English,movie,No Time To Die,Daniel Craig,2,3,1
10-Nov-21,English,movie,Groundhog Day,"Bill Murray, Annie MacDowell",5,4,3
08-Nov-21,Tamil,movie,Jai Bhim,Surya,3,4,1
08-Nov-21,Tamil,movie,Vinodhaya Sitham,"Samuthrakani, Thambi Ramaiah",3,4,1
07-Nov-21,English,movie,Zack Snyder's Justice League,,3,3,1
06-Nov-21,Telugu,movie,Love Story,"Shekar Kammula, Naga Chaitanya, Sai Pallavi",3,4,1
05-Nov-21,English,movie,The Old Guard,Charlize Theron,3,3,1
05-Nov-21,English,movie,American Assassin,"Dylan O'Brien, Michael Keaton",2,2,1
30-Oct-21,Hindi,movie,Shaadi Mein Zaroor Aana,"Rajkummar Rao, Kriti Kharbanda",3,3,2
28-Oct-21,Hindi,movie,Shershaah,"Sidharth Malhotra, Kiara Advani",3,3,1
27-Oct-21,Tamil,movie,Kodiyil Oruthan,Vijay Antony,3,3,1
25-Oct-21,Telugu,movie,Tuck Jagadish,"Nani, Jagapathi Babu",3,3,1
25-Oct-21,Tamil,movie,Kalathil Santhippom,"Jeeva, Arulnithi",3,3,1
23-Oct-21,Telugu,movie,Krack,"Ravi Teja, Samuthirakani",2,2,1
18-Oct-21,English,TV series,Flash: Season 1,,3,3,1
12-Oct-21,Hindi,TV series,The Family Man: Season 1,"Manoj Bajpai, Priyamani",3,4,1
10-Oct-21,English,movie,Pitch Perfect,Anna Kendrick,3,3,1
10-Oct-21,English,movie,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp,5,4,3
07-Oct-21,English,movie,The Accountant,Ben Affleck,3,4,1
02-Oct-21,Telugu,movie,HIT: The First Case,Vishwak Sen,2,3,1
01-Oct-21,Hindi,TV series,The Family Man: Season 1,"Manoj Bajpai, Priyamani",3,4,1
26-Sep-21,English,movie,Edge of Darkness,Mel Gibson,3,3,1
24-Sep-21,English,movie,Edge of Tomorrow,"Tom Cruise, Emily Blunt",5,4,3
23-Sep-21,Hindi,movie,Joker,Akshay Kumar,2,3,1
19-Sep-21,Hindi,movie,Bell Bottom,Akshay Kumar,3,4,1
12-Sep-21,English,movie,Soul,"Jamie Foxx, Tina Fey",4,4,1
12-Sep-21,Tamil,movie,Tughlaq Durbar,"Vijay Sethupathi, Parthiban",3,4,1
31-Aug-21,Hindi,short,Kahanibaaz,Ashish Vidyarthi,2,2,1
31-Aug-21,Hindi,short,Kaidi,"Pankaj Kriplani, Rituraj Singh",2,3,1
31-Aug-21,Hindi,short,Sniper,,2,2,1
30-Aug-21,Hindi,short,Ouch,"Neeraj Pandey, Manoj Bajpayee",3,3,1
29-Aug-21,Hindi,movie,Hungama 2,Priyadarshan,3,3,2
10-Aug-21,English,TV series,Arrow: Season 2,,3,4,1
01-Aug-21,English,TV series,Arrow: Season 1,,3,3,1
21-Jul-21,English,TV series,Shooter: Season 3,Ryan Phillippe,3,3,1
19-Jul-21,English,TV series,Shooter: Season 2,Ryan Phillippe,3,3,1
17-Jul-21,English,TV series,Shooter: Season 1,Ryan Phillippe,3,3,1
15-Jul-21,English,movie,Fantastic Four,"Miles Teller, Kate Mara",2,2,1
13-Jul-21,English,movie,Death Race,Jason Statham,2,2,1
09-Jul-21,English,movie,Angel Has Fallen,"Gerard Butler, Morgan Freeman",3,3,1
09-Jul-21,English,movie,The Tomorrow War,Chris Pratt,2,2,1
08-Jul-21,Tamil,movie,India Pakistan,Vijay Antony,3,3,1
06-Jul-21,Telugu,movie,Rang De,"Nithin, Keerthy Suresh",3,3,1
28-Jun-21,English,movie,The Good Liar,"Ian McKellan, Helen Mirrim",3,4,1
23-Jun-21,Telugu,movie,Ek Mini Katha,"Santosh Shobhan, Kavya Thapar",3,4,1
22-Jun-21,Tamil,movie,Eeswaran,"Suseenthiran, Silambarasan",3,3,1
18-Jun-21,Tamil,movie,Jagame Thandhiram,"Dhanush, Karthik Subbaraj",3,4,1
14-Jun-21,Telugu,movie,Gautham Nanda,Gopichand,2,3,1
12-Jun-21,Tamil,movie,Walter,Shibiraj,3,3,1
08-Jun-21,Telugu,movie,Shivam,"Ram, Rashi Khanna",2,3,1
03-Jun-21,Telugu,movie,Panthem,"Gopichand, Mehreen Pirzada",2,2,1
01-Jun-21,English,fiction,The Burning White,Brent Weeks,4,4,1
28-May-21,English,fiction,The Broken Eye,Brent Weeks,3,3,1
27-May-21,Tamil,movie,Silukkuvarpatti Singam,"Vishnu Vishal, Regina Cassandra",2,3,1
24-May-21,Telugu,movie,Brochevaruevarura,"Sree Vishnu, Nivetha Pethuraj, Nivetha Thomas",3,4,1
24-May-21,English,movie,Alita: Battle Angel,"Robert Rodriguez, Rosa Salazar",4,4,1
22-May-21,Telugu,movie,Aravinda Sametha Veera Raghava,"Jr NTR, Pooja Hegde",4,4,2
22-May-21,English,movie,The Rise of Skywalker,"J J Abrams, Daisy Ridley",3,3,1
21-May-21,English,movie,S.W.A.T,"Samuel L Jackson, Colin Farrell",2,3,1
18-May-21,Hindi,movie,Bala,"Ayushmann Khurrana, Yami Gautam, Bhumi Pednekar",3,4,1
17-May-21,English,movie,Wonder Woman 1984,"Gil Gadot, Chris Pine",3,3,1
16-May-21,English,TV series,Shadow and Bone,Leigh Bardugo,3,3,1
11-May-21,Tamil,movie,Nenjathai Killathe,"Suhasini, Mohan, Pratap",3,4,1
08-May-21,Telugu,movie,Alludu Adhurs,"Bellamkonda Sreenivas, Nabha Natesh, Anu Emmanuel",2,2,1
07-May-21,Telugu,movie,Disco Raja,Ravi Teja,2,3,1
06-May-21,Telugu,movie,Chinnadana Nee Kosam,Nithin,2,2,1
04-May-21,Tamil,movie,Eeti,"Atharva, SriDivya",3,3,1
11-Apr-21,English,movie,Tenet,Christopher Nolan,4,5,1
26-Mar-21,English,movie,Soul,"Jamie Foxx, Tina Fey",4,4,1
26-Mar-21,Hindi,movie,Class of '83,Bobby Deol,3,3,1
22-Mar-21,Telugu,movie,Pandaga Chesko,"Ram, Rakul Preet Singh",2,2,1
19-Mar-21,Tamil,movie,Master,"Vijay, Vijay Sethupathi",3,3,2
15-Mar-21,Tamil,movie,Sigaram Thodu,"Vikram Prabhu, Sathyaraj",3,3,1
13-Mar-21,Malayalam,movie,Memories,"Prithviraj, Jeetu Joseph",3,3,1
12-Mar-21,Malayalam,movie,Drishyam 2,"Mohanlal, Meena, Jeetu Joseph",4,4,2
11-Mar-21,Hindi,movie,Meri Brother Ki Dulhan,"Imran Khan, Katrina Kaif",2,2,2
09-Mar-21,Hindi,movie,Shimla Mirchi,"Rajkummar Rao, Rakul Preet Singh, Hema Malini",3,4,2
07-Mar-21,Hindi,movie,Shaandar,"Shahid Kapoor, Alia Bhat",2,3,1
07-Mar-21,English,movie,The Double,Richard Gere,2,3,1
06-Mar-21,English,movie,Miracle on 34th Street,Richard Attenborough,3,3,3
06-Mar-21,Tamil,movie,Kaadhale Kaadhale,"Ram Pothineni, Keerthi Suresh",3,3,2
05-Mar-21,English,movie,Avengers: Endgame,,4,4,2
03-Mar-21,English,movie,Avengers: Infinity War,,4,4,2
28-Feb-21,English,movie,Captain America: The First Avenger,Chris Evans,3,4,1
27-Feb-21,English,movie,Kindergarten Cop,Arnold Schwarzenegger,3,3,2
23-Feb-21,Telugu,movie,Darshakudu,"Ashok Bandreddi, Eesha Rebba",3,3,1
20-Feb-21,Telugu,movie,Special,"Krishna Chaitanya, Ajay",3,3,1
18-Feb-21,Tamil,movie,Sarkar,Vijay,2,3,1
12-Feb-21,English,movie,Sabotage,Arnold Schwarzenegger,2,3,1
09-Feb-21,English,movie,Wild Card,Jason Statham,2,2,1
07-Feb-21,English,movie,Hitman: Agent 47,Rupert Friend,2,3,1
07-Feb-21,English,movie,Deadpool 2,,2,3,1
04-Feb-21,English,movie,X-Men: Apocalypse,"James McAvoy, Jennifer Lawrence",3,4,1
02-Feb-21,English,movie,Ant-Man and the Wasp,"Paul Rudd, Michael Douglas",3,4,1
01-Feb-21,Tamil,movie,Dev,"Karthi, Rakul Preet Singh",3,4,1
29-Jan-21,Tamil,movie,Poojai,Vishal,3,3,2
27-Jan-21,Tamil,movie,Annadurai,Vijay Antony,3,3,1
27-Jan-21,Tamil,movie,Pokkiri,"Vijay, Asin",4,4,2
21-Jan-21,Tamil,movie,Shaguni,"Karthi, Santhanam",3,3,1
15-Dec-20,Tamil,movie,Magamuni,Arya,3,4,1
13-Dec-20,Tamil,movie,Bigil,"Vijay, Nayantara",3,3,1
13-Dec-20,English,fiction,Spider-Man: Ends of the Earth,,3,3,1
13-Dec-20,English,non-fiction,How to Fail at Almost Everything and Still Win Big,Scott Adams,3,4,1
11-Dec-20,Tamil,movie,Yaman,Vijay Antony,3,3,1
10-Dec-20,Tamil,movie,Salim,Vijay Antony,3,4,1
09-Dec-20,Tamil,movie,Naan,Vijay Antony,3,3,1
26-Nov-20,Tamil,movie,Thadam,Arun Vijay,3,4,1
25-Nov-20,Tamil,movie,Singam Puli,Jeeva,2,3,1
24-Nov-20,Tamil,movie,Mr Local,"Sivakarthikeyan, Nayantara",2,2,1
18-Nov-20,Tamil,movie,Namma Veettu Pillai,"Sivakarthikeyan, Aishwarya Rajesh",3,3,2
12-Nov-20,Hindi,movie,Shimla Mirchi,"Rajkummar Rao, Rakul Preet Singh, Hema Malini",3,4,2
11-Sep-20,English,fiction,Alcatraz vs the Evil Librarians,,3,3,1
10-Aug-20,English,movie,Justice League,,3,3,1
08-Aug-20,English,movie,Batman vs Superman: Dawn of Justice,,3,3,2
21-May-20,Telugu,movie,Prati Roju Pandage,"Sai Dharam Tej, Rashi Khanna, Sathyaraj",2,2,1
20-May-20,English,movie,Killer Elite,"Jason Statham, Robert Deniro, Clive Owen",2,2,1
18-May-20,English,TV series,Jack Ryan: Season 2,John Krasinski,3,3,1
15-May-20,English,TV series,Jack Ryan: Season 1,John Krasinski,3,3,1
12-May-20,English,fiction,Beyond the Shadows,Brent Weeks,2,2,1
08-May-20,English,fiction,Shadow's Edge,Brent Weeks,2,3,1
04-May-20,English,fiction,The Way of Shadows,Brent Weeks,3,3,2
02-May-20,Hindi,movie,Parmanu,John Abraham,3,4,1
28-Apr-20,Telugu,movie,Krishnarjuna Yuddham,Nani,2,2,1
27-Apr-20,Telugu,movie,W/o Ram,Lakshmi Manchu,3,4,1
26-Apr-20,English,fiction,Lies of the Beholder,Brandon Sanderson,3,3,1
26-Apr-20,English,fiction,Skin Deep,Brandon Sanderson,3,3,1
25-Apr-20,Telugu,movie,Bheeshma,"Nitin, Rashmika",2,3,1
25-Apr-20,English,fiction,Legion,Brandon Sanderson,4,4,1
19-Apr-20,English,non-fiction,The 4 Disciplines of Execution,"Chris McChesney, Sean Covey, Jim Huling",3,4,1
18-Apr-20,English,movie,The Knight Before Christmas,Vanessa Hudgens,3,3,1
17-Apr-20,Telugu,movie,Manmadhudu 2,"Nagarjuna, Rakul Preet Singh",3,3,2
09-Apr-20,Hindi,movie,Nauker,"Sanjeev Kumar, Jaya Badhuri",3,3,2
04-Apr-20,English,movie,Captain America: First Avenger,"Chris Evans, Tommy Lee Jones",3,3,1
31-Mar-20,English,fiction,Batman: The Killing Joke,Alan Moore,3,3,1
30-Mar-20,English,fiction,World War Hulk,Greg Pak,3,3,1
25-Mar-20,English,non-fiction,Sprint,Jake Knapp,4,4,2
20-Mar-20,Hindi,movie,Game,"Abhishek Bachchan, Kangana Ranaut",3,4,1
15-Mar-20,Telugu,movie,Babu Bangaram,"Venkatesh, Nayantara",2,2,1
13-Mar-20,Hindi,movie,The Body,Jeethu Joseph,3,3,1
10-Mar-20,English,non-fiction,The Five Dysfunctions of a Team,Patrick Lencioni,4,4,2
08-Mar-20,Malayalam,movie,Big Brother,Mohanlal,4,4,1
07-Mar-20,English,non-fiction,Never Split The Difference,Chris Voss,4,4,2
27-Feb-20,Telugu,movie,Tenali Ramakrishna BABL,"Sudeep Kishan, Hansika Motwani",2,2,1
26-Feb-20,English,movie,Safe House,"Denzel Washington, Ryan Reynolds",3,3,1
25-Feb-20,English,fiction,Amazing Spider-Man Vol 1,Dan Slott,3,3,1
23-Feb-20,English,non-fiction,Deep Work,Cal Newport,3,4,1
23-Feb-20,Telugu,movie,Entha Manchivaadavuraa,"Kalyan Ram, Mehreen Pirzada",3,3,1
19-Feb-20,English,fiction,Kingdom Come,Mark Waid,3,3,1
16-Feb-20,Telugu,movie,iSmart Shankar,Ram Pothineni,2,2,1
14-Feb-20,Hindi,movie,Mission Mangal,"Akshay Kumar, Vidya Balan",3,3,1
14-Feb-20,English,non-fiction,The Great Mental Models,Shane Parrish,3,3,2
10-Feb-20,English,fiction,Flashpoint,Geoff Johns,3,3,1
09-Feb-20,English,movie,The Mechanic,Jason Statham,3,3,1
07-Feb-20,English,movie,17 Again,Mathew Perry,3,3,1
06-Feb-20,English,movie,Yes Man,Jim Carrey,3,4,1
05-Feb-20,English,non-fiction,Leaders Eat Last,Simon Sinek,3,3,1
05-Feb-20,English,fiction,Starsight,Brandon Sanderson,4,4,1
02-Feb-20,Tamil,movie,Pattas,"Dhanush, Sneha",2,3,1
01-Feb-20,English,fiction,Skyward,Brandon Sanderson,4,4,1
29-Jan-20,Tamil,movie,Thambi,"Karthi, Jyothika",3,4,1
27-Jan-20,Telugu,movie,Ala Vaikunthapurramuloo,"Allu Arjun, Murali Sharma",4,4,2
26-Jan-20,Tamil,movie,Sangathamizhan,"Vijay Sethupathi, Rashi Khanna",3,3,1
26-Jan-20,Tamil,movie,Darbar,"Rajnikanth, Nivetha Thomas",3,3,1
22-Jan-20,English,non-fiction,The Culture Code,Dan Coyle,3,4,1
22-Jan-20,English,fiction,The Burning White,Brent Weeks,4,4,1
13-Jan-20,English,fiction,The Blood Mirror,Brent Weeks,3,3,1
09-Jan-20,English,fiction,The Broken Eye,Brent Weeks,3,3,1
04-Jan-20,English,fiction,The Blinding Knife,Brent Weeks,4,4,1
03-Jan-20,English,non-fiction,The Lean Startup,Eric Ries,4,4,2
01-Jan-20,English,movie,The Next Three Days,"Russell Crowe, Elizabeth Banks",3,3,1
31-Dec-19,English,fiction,Batman: The Dark Knight: Master Race,Frank Miller,3,4,2
31-Dec-19,English,fiction,Batman Year One,Frank Miller,4,4,2
30-Dec-19,English,fiction,Captain Marvel Volume 1,,3,3,1
29-Dec-19,Telugu,movie,C/o Surya,"Sundeep Kishan, Mehreen Pirzada",3,3,1
28-Dec-19,Hindi,movie,CID,Dev Anand,2,3,1
27-Dec-19,Telugu,movie,Subramanyam for Sale,"Sai Dharam Tej, Regina Cassandra",3,3,1
26-Dec-19,Telugu,movie,Saahasam,"Gopichand, Tapsee Pannu",2,3,1
25-Dec-19,Telugu,movie,Sardar Gabbar Singh,"Pawan Kalyan, Kajal Agarwal",2,2,1
24-Dec-19,Telugu,movie,Gopichand Chanakya,"Gopichand, Mehreen Pirzada",2,2,1
20-Dec-19,Tamil,movie,Action,Vishal,3,3,1
19-Dec-19,Tamil,movie,Thimiru Pudichavan,"Vijay Antony, Nivetha Pethuraj",3,3,2
15-Dec-19,English,fiction,The Black Prism,Brent Weeks,3,4,1
11-Dec-19,English,movie,Wanted,"James McAvoy, Angelina Jolie",2,3,1
09-Dec-19,Telugu,movie,Radha,"Sharwanand, Lavanya Tripathi",3,3,1
05-Dec-19,Hindi,movie,Manmarziyaan,"Tapsee Pannu, Abhishek Bachchan",3,4,1
04-Dec-19,Telugu,movie,Neevevaro,"Aadhi, Tapsee Pannu",3,3,1
03-Dec-19,Hindi,movie,Prassthanam,Sanjay Dutt,3,3,1
03-Dec-19,Hindi,movie,Section 375,Akshaye Khanna,4,4,1
01-Dec-19,Tamil,movie,Kaviyyan,Shaam,1,1,1
01-Dec-19,English,non-fiction,How To,Randall Munroe,3,3,2
30-Nov-19,Tamil,movie,Kaithi,"Karthi, Naren",4,4,1
29-Nov-19,English,fiction,Nothing Ventured,Jeffrey Archer,3,4,1
27-Nov-19,Telugu,movie,Sye Raa Narasimha Reddy,Chiranjeevi,3,3,1
24-Nov-19,English,non-fiction,Tribal Leadership,,3,3,2
22-Nov-19,Hindi,movie,Talvar,Irrfan Khan,3,4,1
20-Nov-19,English,fiction,Ruin and Rising,Leigh Bardugo,3,3,1
17-Nov-19,Tamil,movie,Comali,Jayam Ravi,3,3,2
15-Nov-19,English,fiction,Seige and Storm,Leigh Bardugo,3,3,1
13-Nov-19,English,fiction,Shadow and Bone,Leigh Bardugo,3,3,1
09-Nov-19,English,fiction,Heads You Win,Jeffrey Archer,3,3,1
09-Nov-19,Tamil,movie,Asura,"Dhanush, Vetrimaaran",4,5,1
05-Nov-19,English,fiction,This Was a Man,Jeffrey Archer,3,3,1
04-Nov-19,English,fiction,Cometh the Hour,Jeffrey Archer,3,3,1
02-Nov-19,English,fiction,Mightier than the Sword,Jeffrey Archer,4,4,1
01-Nov-19,English,fiction,Be Careful What You Wish For,Jeffrey Archer,3,3,1
30-Oct-19,Telugu,movie,Balakrishnudu,"Nara Rohit, Regina Cassandra",2,2,1
30-Oct-19,Telugu,movie,Evaru,"Regina Cassandra, Adivi Sesh",3,3,1
30-Oct-19,Tamil,movie,Kaappaan,"Surya, Mohanlal, Arya",3,4,1
29-Oct-19,English,fiction,Best Kept Secret,Jeffrey Archer,3,3,1
29-Oct-19,Hindi,TV series,Family Man S1E2,"Manoj Bajpai, Priyamani",3,4,1
28-Oct-19,Hindi,TV series,Family Man S1E1,"Manoj Bajpai, Priyamani",3,4,1
28-Oct-19,Telugu,movie,Gang Leader,"Nani, Lakshmi, Sharanya",3,3,1
28-Oct-19,English,fiction,Sins of the Father,Jeffrey Archer,4,4,2
26-Oct-19,English,fiction,Only Time Will Tell,Jeffrey Archer,4,4,2
23-Oct-19,Hindi,movie,Shahid,Rajkummar Rao,4,4,1
23-Oct-19,English,fiction,Raavan: Enemy of Aryavarta,Amish Tripathi,3,3,2
21-Oct-19,English,fiction,Sita: Warrior of Mithila,Amish Tripathi,3,3,2
19-Oct-19,English,fiction,Ram: Scion of Ikshvaku,Amish Tripathi,3,3,2
17-Oct-19,Hindi,movie,Black Friday,Anurag Kashyap,3,3,1
12-Oct-19,Telugu,movie,Sammohanan,,3,3,2
11-Oct-19,English,fiction,Crooked Kingdom,Leigh Bardugo,3,4,2
05-Oct-19,Japanese,movie,Your Name,,4,5,1
04-Oct-19,English,movie,Spotlight,Michael Keaton,4,4,1
03-Oct-19,English,movie,Aladdin,Will Smith,3,3,1
29-Sep-19,Telugu,movie,Tholi Prema,"Varun Tej, Rashi Khanna",2,3,1
26-Sep-19,English,fiction,Tell Tale,Jeffrey Archer,3,3,1
22-Sep-19,Telugu,movie,Asura,Nara Rohit,2,3,1
22-Sep-19,Telugu,movie,PSV Garuda Vega,Rajashekar,3,3,1
18-Sep-19,Tamil,movie,Kolaigaran,"Vijay Antony, Arjun",3,3,1
16-Sep-19,English,movie,Spider-Man: Far From Home,,3,4,1
15-Sep-19,English,movie,High Crimes,"Morgan Freeman, Ashley Judd",3,3,1
07-Sep-19,English,fiction,Six of Crows,Leigh Bardugo,3,4,2
04-Sep-19,English,movie,Inside Out,,4,4,1
03-Sep-19,Hindi,movie,The Accidental Prime Minister,"Anupam Kher, Akshay Khanna",3,3,1
02-Sep-19,Tamil,movie,Boomerang,Atharva,2,3,1
01-Sep-19,Tamil,movie,Kaala,Rajnikanth,2,2,1
31-Aug-19,Tamil,movie,Saaho,Prabhas,2,1,1
30-Aug-19,Telugu,movie,Kavacham,"Bellamkonda Srinivas, Kajal Agarwal, Mehreen Pirzada",2,2,1
27-Aug-19,Telugu,movie,Chal Mohan Ranga,"Nithin, Megha Akash",2,3,1
25-Aug-19,Telugu,movie,Naa Peru Surya Naa Illu India,"Allu Arjun, Arjun Sarja",2,3,1
25-Aug-19,Hindi,movie,Phantom,"Saif Ali Khan, Katrina Kaif",3,3,1
24-Aug-19,Telugu,movie,Patel Sir,Jagapathi Babu,2,3,1
24-Aug-19,Tamil,movie,Kadaram Kondan,Vikram,3,3,1
21-Aug-19,English,movie,3 Days to Kill,Kevin Costner,3,3,1
20-Aug-19,English,movie,The Town,"Ben Affleck, Jeremy Runner",3,3,1
19-Aug-19,English,movie,Stand By Me,"Rob Reiner, Wil Wheaton",3,4,1
19-Aug-19,English,movie,The Mule,Clint Eastwood,3,4,1
18-Aug-19,English,movie,Jumanji: Welcome to the Jungle,Dwayne Johnson,3,3,1
18-Aug-19,English,movie,Shazam,Zachary Levi,2,3,1
15-Aug-19,Hindi,movie,Katti Batti,"Imran Khan, Kangana Ranaut",3,3,1
11-Aug-19,Hindi,movie,Madras Café,John Abraham,3,3,1
11-Aug-19,Hindi,movie,Badla,"Amitabh Bachchan, Tapsee Pannu",4,4,1
11-Aug-19,Malayalam,movie,Grandmaster,"Mohan Lal, Priya Mani",4,4,1
08-Aug-19,English,TV series,Daredevil S3E3,,3,3,1
05-Aug-19,English,TV series,Daredevil S3E2,,3,3,1
04-Aug-19,English,TV series,Daredevil S3E1,,3,3,1
03-Aug-19,Tamil,movie,Super Deluxe,"Vijay Sethupathi, Samantha, Ramya Krishnan",4,5,1
01-Aug-19,English,TV series,Daredevil S2E13,,3,3,1
01-Aug-19,English,TV series,Daredevil S2E12,,3,3,1
31-Jul-19,English,TV series,Daredevil S2E11,,3,3,1
30-Jul-19,English,TV series,Daredevil S2E10,,3,3,1
29-Jul-19,English,TV series,Daredevil S2E9,,3,3,1
28-Jul-19,English,TV series,Daredevil S2E8,,3,3,1
28-Jul-19,English,movie,Spider-Man: Into the Spider-Verse,,4,4,1
05-Jul-19,English,TV series,Daredevil S2E7,,3,3,1
03-Jul-19,English,TV series,Daredevil S2E6,,3,3,1
02-Jul-19,Hindi,movie,Article 15,Ayushmann Khurrana,4,4,1
01-Jul-19,English,TV series,Daredevil S2E5,,3,3,1
30-Jun-19,Tamil,movie,Kee,"Jiiva, Nikki Galrani",3,3,1
29-Jun-19,English,TV series,Daredevil S2E4,,3,3,1
29-Jun-19,English,TV series,Daredevil S2E3,,3,3,1
28-Jun-19,Telugu,movie,Jaya Janaki Nayaka,,2,2,1
22-Jun-19,Hindi,movie,Photograph,,4,4,1
22-Jun-19,Hindi,movie,Barreily Ki Barfi,,3,4,2
21-Jun-19,English,TV series,Daredevil S2E2,,3,3,1
21-Jun-19,Tamil,movie,Pandiyan,Rajnikanth,3,3,2
16-Jun-19,English,TV series,Chernobyl S1E2,,3,4,1
16-Jun-19,English,TV series,Chernobyl S1E1,,3,4,1
16-Jun-19,Telugu,movie,Geeta Govindam,"Vijay Devarakonda, Rashmika",4,4,2
14-Jun-19,English,TV series,Daredevil S2E1,,3,3,1
11-Jun-19,English,TV series,Designated Survivor S03E01,Kiefer Sutherland,3,3,1
10-Jun-19,English,TV series,Daredevil S1E13,,3,3,1
09-Jun-19,English,TV series,Daredevil S1E12,,3,3,1
09-Jun-19,English,TV series,Daredevil S1E11,,3,3,1
08-Jun-19,Tamil,movie,Vellai  Pookkal,Vivek,3,3,1
07-Jun-19,English,TV series,Daredevil S1E10,,3,3,1
04-Jun-19,English,TV series,Daredevil S1E9,,3,4,1
02-Jun-19,Telugu,movie,Thikka,Sai Dharam Tej,2,3,1
02-Jun-19,English,TV series,Daredevil S1E8,,3,3,1
01-Jun-19,English,TV series,Daredevil S1E7,,3,3,1
01-Jun-19,English,TV series,Daredevil S1E6,,3,3,1
28-May-19,English,TV series,Daredevil S1E5,,3,3,1
28-May-19,Telugu,movie,Winner,"Sai Dharam Tej, Jagapathi Babu, Rakul Preet Singh",3,3,1
27-May-19,English,TV series,Daredevil S1E4,,3,3,1
27-May-19,Telugu,movie,Jawaan,"Sai Dharam  Tej, Prasanna, Mehreen Pirzada",2,3,1
26-May-19,English,movie,Edge of Tomorrow,"Tom Cruise, Emily Blunt",5,4,3
26-May-19,Telugu,movie,Aatagallu,"Nara Rohit, Jagapathi Babu",3,3,1
26-May-19,English,TV series,Daredevil S1E3,,3,3,1
25-May-19,Tamil,movie,Lucifer,Mohan Lal,4,4,1
25-May-19,English,TV series,Daredevil S1E2,,3,3,1
25-May-19,Telugu,movie,Chitralahari,Sai Dharam Tej,3,3,1
24-May-19,English,TV series,Daredevil S1E1,,3,3,1
23-May-19,Tamil,movie,Pistha,"Karthik, Nagma",3,3,2
23-May-19,Telugu,movie,Lakshyam,"Gopichand, Anushka Shetty",2,3,1
19-May-19,Telugu,movie,Ra Ra Krishnayya,"Sudeep Kishan, Regina Cassandra",2,2,1
18-May-19,Telugu,movie,Pilla Nuvvu Leni Jeevitam,"Sai Dharam Tej, Regina Cassandra",3,3,1
17-May-19,Telugu,movie,Shankara,"Nara Rohit, Regina Cassandra",2,2,1
15-May-19,Tamil,movie,Thuppakki Munai,Vikram Prabhu,3,3,1
15-May-19,Telugu,movie,Maharshi,Mahesh Babu,2,2,1
12-May-19,Telugu,movie,Mental Madhilo,"Sree Vishnu, Nivetha Pethuraj, Amrutha Srinivasan",3,4,1
08-May-19,Telugu,movie,Vunnadhi Okate Zindagi,"Ram Pothineni, Aparna, Lavanya  Tripathi",3,3,1
07-May-19,Telugu,movie,Jadoogadu,Naga Shaurya,3,3,1
05-May-19,Telugu,movie,Okkadine,"Nara Rohit, Nithya Menen",3,3,1
05-May-19,English,movie,Venom,Tom Hardy,3,3,1
05-May-19,English,fiction,The Fox,Frederick Forsyth,3,3,1
05-May-19,English,movie,Captain Marvel,,3,3,1
04-May-19,Telugu,movie,Dhadha,"Naga Chaitanya, Kajal Agarwal",1,2,1
